"","errorType","errorName","ObjectID","quadrat","StemTag","sp","dbh_2023","hom","lx","ly","status_2025","fad_2025","comment_2025","x","y","status_2026","mort_census_status","fad_choices","fad_2026","lean_angle","liana_load","dead_with_resprout","crown_intact","crown_living","crown_check","personnel_list","date_measured","comment_mortality_2026","GlobalID","tag","BLD","ParentGlobalID"
"1","error","missedStem",429,208,1,"litu",1310,1.3,14.8,1.30000000000001,"A","","",-78.14730668,38.89188976,"LI","in progress","","",1,0,0,5,5,NA,"C","6/10/2026 3:12:34 PM","Has large secondary stem list not listed","14524a84-492d-486e-8aba-9807445c7743",20587,0,NA
"2","error","missedStem",1319,416,1,"tiam",475,1.3,10.2,0.800000000000011,"A","","",-78.14685983,38.89333384,"LI","in progress","","",1,2,0,5,5,NA,"C","6/8/2026 6:49:03 PM","missing secondary stem","c2e0e6a2-5414-4385-9fe8-0421b1142f78",41016,0,NA
"3","error","missedStem",2707,802,1,"fram",NA,NA,5.09999999999999,18.5,"AU","W,R","",-78.1460454,38.89095608,"DN","in progress","","",1,0,0,NA,NA,NA,"CK","6/10/2026 5:00:10 PM","Could be one of the downed trees, though cannot find tag","52d8c9a9-101b-4731-9601-aee846f004ec",80040,0,NA
"4","error","missedStem",4998,1403,1,"litu",1134,1.3,4.30000000000001,3.6,"A","","",-78.14467154,38.89099331,"LI","in progress","","",1,0,0,5,5,NA,"C","6/12/2026 1:29:23 PM","","59cac0e7-b45a-4de6-aab9-fbbbd5117186",140609,0,NA
"5","error","missedStem",10,105,2,"acne",140,1.3,1.1,15.9,"AU","DF,K","",-78.14769919,38.89148341,"","not started","","",1,0,0,NA,NA,NA,"C","6/10/2026 12:57:01 PM","","c6a665fc-2ab8-4902-b9b3-441d5b0b3b91",10263,0,"83dd1c1f-445f-4770-807f-bab8adf5e2df"
"6","error","missedStem",60,509,2,"litu",350,1.3,14.5,18,"A","","",-78.1466154,38.89221587,"","not started","","",1,0,0,NA,NA,NA,"C","6/10/2026 3:50:11 PM","","7e4f3105-54f4-48c2-9ad2-d265f1f22917",50474,0,"0b9ca6da-1d6d-4837-96b8-53bad1753c9c"
"7","error","missedStem",62,511,2,"caca",102,1.3,0,9.3,"AU","R","",-78.14677956,38.89249878,"LI","not started","F","F",1,0,0,4,4,NA,"C","6/9/2026 6:56:02 PM","","220667cf-9368-4fc8-b8b4-6a4320789c6e",50515,0,"e4b30750-65d2-4684-8f00-9c281196a6b3"
"8","error","missedStem",87,917,2,"quru",520,1.3,11.5,14,"DS","","",-78.14562759,38.89360227,"","not started","","",1,0,0,NA,NA,NA,"CK","6/12/2026 4:37:33 PM","","c442d400-4742-4af0-97b3-37c276c3426a",92029,0,"6997a7fc-975f-4073-909a-c013b6cf7dfb"
"9","error","missedStem",108,1126,2,"cagl",158,1.3,2.69999999999999,17.1,"A","","",-78.1453371,38.8952614,"","not started","","",1,0,0,NA,NA,NA,"CK","6/22/2026 2:38:10 PM","","7012457a-64f2-4f79-86c5-3d9a23f782e2",112388,0,"bd554250-440d-4bb9-aac1-f6675dcd5c75"
"10","error","missedStem",135,1601,2,"aial",144,1.3,19.8,9.8,"AU","B,U","",-78.14403524,38.89068491,"","not started","","",1,0,0,NA,NA,NA,"C","6/12/2026 2:03:38 PM","","d62ae5b7-aee4-4e1e-afde-670a2f3f5ccd",160248,0,"56f32391-59b9-43d7-b08d-ee2b2347b09f"
