"variable","survey_year","sp","estimate","LCI_95","UCI_95","N0","n_died","mean_timeint_yr"
"mortality_rates","2013","acne",0,0,0,6,0,4.68
"mortality_rates","2014","acne",0,0,0,6,0,1.25
"mortality_rates","2015","acne",0,0,0,6,0,0.79
"mortality_rates","2016","acne",0,0,0,6,0,1
"mortality_rates","2017","acne",0,0,0,6,0,1.01
"mortality_rates","2018","acne",0,0,0,6,0,0.97
"mortality_rates","2019","acne",0,0,0,6,0,1.03
"mortality_rates","2020","acne",0,0,0,11,0,1.02
"mortality_rates","2021","acne",0,0,0,11,0,0.9
"mortality_rates","2022","acne",0,0,0,10,0,1.13
"mortality_rates","2013","acpl",0,0,0,7,0,4.76
"mortality_rates","2014","acpl",0,0,0,7,0,1.19
"mortality_rates","2015","acpl",0,0,0,7,0,0.8
"mortality_rates","2016","acpl",0,0,0,7,0,0.98
"mortality_rates","2017","acpl",0,0,0,7,0,1.04
"mortality_rates","2018","acpl",0,0,0,7,0,0.96
"mortality_rates","2019","acpl",0,0,0,7,0,0.99
"mortality_rates","2020","acpl",0,0,0,7,0,1.04
"mortality_rates","2021","acpl",0,0,0,7,0,0.93
"mortality_rates","2022","acpl",0,0,0,7,0,1.08
"mortality_rates","2013","acru",0,0,0,189,0,4.69
"mortality_rates","2014","acru",1.66,0.36,3.53,189,4,1.28
"mortality_rates","2015","acru",1.36,0,3.64,185,2,0.79
"mortality_rates","2016","acru",0.55,0,1.7,183,1,1
"mortality_rates","2017","acru",0.53,0,1.73,182,1,1.03
"mortality_rates","2018","acru",2.31,0.5,4.8,181,4,0.95
"mortality_rates","2019","acru",0.54,0,1.94,175,1,1.05
"mortality_rates","2020","acru",2.18,0,5.52,180,4,1.02
"mortality_rates","2021","acru",3.17,0.69,5.77,175,5,0.9
"mortality_rates","2022","acru",3.37,1.15,5.97,168,6,1.06
"mortality_rates","2013","aial",0,0,0,4,0,4.44
"mortality_rates","2014","aial",0,0,0,4,0,1.45
"mortality_rates","2015","aial",0,0,0,4,0,0.81
"mortality_rates","2016","aial",0,0,0,4,0,0.96
"mortality_rates","2017","aial",0,0,0,4,0,0.92
"mortality_rates","2018","aial",0,0,0,4,0,0.99
"mortality_rates","2019","aial",0,0,0,4,0,0.99
"mortality_rates","2020","aial",0,0,0,4,0,1.04
"mortality_rates","2021","aial",24.23,0,32.11,4,1,1.04
"mortality_rates","2022","aial",0,0,0,3,0,1.06
