"tag","StemTag","sp","quadrat","gx","gy","dbh","hom","s14","s15","s16","s17","s18main","s18","s19","s20","status.2021","dendroband","above_50cm_dbh","oak","small_non_oak_no_dendro_random","cored_dead"
111252,1,"quru","1114",210.9,270,337,"1.3","A","A","A","A","A","A","A","A","DS",0,0,1,0,0
111235,1,"qupr","1113",211.2,252.6,208,"1.3","A","A","A","A","A","A","A","AU","DS",0,0,1,0,0
140449,1,"fram","1403",273.6,49.9,198,"1.3","A","A","A","A","A","A","AU","AU","DS",0,0,0,0,0
50016,1,"fram","0501",88.2,6,143,"1.3","A","A","A","AU","A","AU","AU","AU","DS",0,0,0,0,0
50038,1,"fram","0501",89.3,12.5,215,"1.3","A","A","A","A","A","A","A","AU","DS",0,0,0,0,0
50512,1,"fram","0511",83.8,205.3,448,"1.3","A","A","A","A","A","A","A","AU","DS",0,0,0,0,0
32351,1,"cofl","0326",54.8,517.1,103,"1.3","A","A","A","A","A","A","A","A","DS",0,0,0,0,0
152294,1,"fram","1521",296.5,412.3,650,"1.3","A","A","A","A","A","A","A","AU","DC",0,1,0,0,0
141088,1,"fram","1415",273,280.6,771,"1.3","A","A","A","AU","A","AU","AU","AU","DS",1,1,0,0,0
50386,2,"quve","0509",88.7,163.3,547,"1.3","A","A","A","A","A","A","A","AU","DS",0,1,1,0,0
50386,1,"quve","0509",88.7,163.3,563,"1.3","A","A","A","A","A","A","A","AU","DS",0,1,1,0,0
50473,1,"juni","0509",93.9,175.7,326,"1.3","A","A","A","A","A","A","A","AU","PD",0,0,0,0,0
162001,1,"pist","1617",302.9,322.2,300,"1.3","A","A","A","AU","A","A","A","A","DS",0,0,0,0,0
162101,1,"cagl","1617",312.1,322.9,208,"1.3","A","A","A","A","A","A","A","A","DS",0,0,0,0,0
161006,1,"ceoc","1613",309.8,250.4,123,"1.3","A","A","A","AU","A","A","A","A","DC",0,0,0,0,0
161008,1,"fram","1613",312.6,256.7,806,"1.3","A","A","A","A","A","AU","AU","AU","DS",0,1,0,0,0
180791,1,"cagl","1811",349.6,204.1,404,"1.3","A","A","A","A","A","A","A","A","DS",1,0,0,0,0
130775,1,"fram","1308",242.2,146.5,208,"1.3","A","A","A","A","A","A","AU","AU","DC",0,0,0,0,0
120535,1,"fram","1203",223.2,47.5,139,"1.3","A","A","A","A","A","A","AU","AU","DS",0,0,0,0,0
120468,1,"fram","1203",220.9,41.3,104,"1.3","A","A","A","A","A","A","A","A","DS",0,0,0,0,0
120397,1,"fram","1203",238.8,40.9,161,"1.3","A","A","A","A","A","A","AU","AU","PD",0,0,0,0,0
60161,1,"qupr","0608",117.5,151.7,869,"1.3","A","A","A","A","A","A","AU","AU","DS",1,1,1,0,0
130991,1,"quve","1307",255.1,120.6,739,"1.3","A","A","A","AU","A","AU","AU","AU","DS",0,1,1,0,0
130996,1,"quru","1307",249.2,127.6,163,"1.3","A","A","A","A","A","A","A","AU","DS",0,0,1,0,0
140733,1,"quve","1407",264.2,127,705,"1.1","A","A","A","A","A","A","A","A","DS",0,1,1,0,0
180686,1,"ceca","1807",340.3,125.2,120,"1.3","A","A","A","A","A","A","A","AU","DS",0,0,0,0,0
180644,1,"juci","1804",343.9,69.5,282,"1.3","A","A","A","AU","A","AU","A","AU","DS",0,0,0,0,0
180426,1,"fram","1802",340.9,34.1,102,"1.3",NA,"A","A","A","A","A","A","AU","DS",0,0,0,0,0
180141,1,"ulru","1802",342.6,28.3,166,"1.3","A","A","A","AU","D","A","A","A","PD",0,0,0,0,0
170965,1,"frni","1703",328.1,56.1,161,"1.3","A","A","A","A","A","A","A","AU","DS",0,0,0,0,0
171104,1,"ulru","1704",328.5,62.4,130,"1.3","A","A","A","A","A","A","A","A","DS",0,0,0,0,0
171217,1,"fram","1705",338.2,97.1,160,"1.3","A","A","A","A","A","A","A","A","DS",0,0,0,1,0
160990,1,"fram","1612",319.7,238.9,487,"1.3","A","A","A","A","A","A","A","AU","PD",0,0,0,0,0
161027,1,"caco","1614",306.3,269.5,124,"1.3","A","A","A","A","A","A","A","A","DS",0,0,0,0,0
161504,1,"fram","1615",320,285,220,"1.3","A","A","A","A","A","AU","AU","AU","DS",0,0,0,0,0
162071,2,"caovl","1619",309.6,378.8,115,"1.3","A","A","A","AU","A","AU","A","AU","DS",0,0,0,0,0
162315,1,"nysy","1620",315.2,394.5,132,"1.3","A","A","A","A","A","A","A","A","DS",0,0,0,0,0
162353,1,"caco","1621",318.7,415.6,588,"1.3","A","A","A","A","A","A","A","AU","DC",0,1,0,0,0
162518,2,"cagl","1625",305.6,496.1,168,"1.4","A","A","A","A","A","A","A","A","DS",0,0,0,0,0
162443,1,"fram","1627",319.8,534,212,"1.3","A","A","A","A","A","A","A","A","DS",0,0,0,0,0
162540,1,"qual","1627",301.7,535,485,"1.3","A","A","A","A","A","A","A","A","DS",0,0,1,0,0
162551,1,"ceca","1628",314.3,541.1,107,"1.3",NA,NA,NA,NA,"A",NA,"A","A","DC",0,0,0,0,0
162599,1,"fram","1629",316.8,578.6,143,"1.3","A","A","A","A","A","A","A","A","DC",0,0,0,0,0
162486,1,"fram","1631",314.5,612.7,257,"1.3","A","A","A","A","A","AU","AU","AU","DS",0,0,0,0,0
162491,1,"fram","1631",313.1,619.4,358,"1.3","A","A","A","A","A","A","A","A","DS",0,0,0,0,0
162603,1,"fram","1632",318.8,622.2,135,"1.3","A","A","A","A","A","A","A","AU","DC",0,0,0,0,0
162622,1,"fram","1632",318.3,634.7,213,"1.3","A","A","A","A","A","A","A","AU","DS",0,0,0,1,0
50372,1,"quve","0508",92.4,149.8,363,"1.3","A","A","A","A","A","A","A","A","DS",0,0,1,0,0
140814,1,"cagl","1410",269.8,191.2,190,"1.3","A","A","A","A","A","A","AU","AU","DS",0,0,0,0,0
192564,1,"fram","1931",377.6,606.6,129,"1.3","A","A","A","A","A","A","A","AU","DS",0,0,0,0,0
192570,1,"fram","1931",376.4,616.3,478,"1.3","A","A","A","A","A","A","A","A","DS",1,0,0,0,0
192575,1,"fram","1931",366.2,614.7,402,"1.3","A","A","A","A","A","A","A","A","DS",0,0,0,0,0
192316,1,"ulru","1923",368.1,442.6,170,"1.3","A","A","A","AU","A","AU","A","A","DC",0,0,0,1,0
192519,1,"frpe","1927",378.7,538,117,"1.3","A","A","A","A","A","A","A","A","PD",0,0,0,0,0
182703,1,"fram","1831",354.6,617.9,151,"1.3","A","A","A","A","A","A","A","A","DS",0,0,0,0,0
182678,1,"fram","1828",356.6,558.7,172,"1.3","A","A","A","A","A","A","A","AU","DS",0,0,0,0,0
182440,1,"fram","1828",343.5,550,162,"1.3","A","A","A","A","A","A","A","AU","DS",0,0,0,0,0
182394,1,"fram","1824",342,480,425,"1.3","A","A","A","A","A","AU","AU","AU","DS",0,0,0,0,0
182415,1,"litu","1826",352.5,506.9,507,"1.3","A","A","AU","AU","A","AU","A","AU","DS",0,1,0,0,0
182310,1,"fram","1821",341,413.5,403,"1.3","A","A","AU","AU","A","AU","AU","AU","DS",0,0,0,0,0
182070,1,"qupr","1820",352.7,393,199,"1.3","A","A","A","A","A","A","A","AU","DC",0,0,1,0,0
182051,1,"quve","1819",358,360.4,218,"1.3","A","A","A","A","A","A","A","A","DS",0,0,1,0,0
180873,1,"quru","1816",354.7,318.1,409,"1.3","A","A","A","A","A","AU","AU","AU","DS",0,0,1,0,0
180829,1,"ceoc","1813",359.2,250,107,"1.3","A","A","A","A","A","AU","AU","AU","DS",0,0,0,0,0
202381,1,"fram","2025",387.5,482,667,"1.3","A","A","A","A","A","A","A","A","DS",0,1,0,0,0
190596,1,"fram","1914",360.7,270.1,116,"1.3","A","A","A","A","A","A","A","AU","PD",0,0,0,0,0
190750,1,"fram","1912",374.5,220.7,161,"1.3","A","A","A","AU","D","AU","AU","A","PD",0,0,0,0,0
190541,1,"fram","1911",361.5,209,285,"1.3","A","A","A","A","A","A","A","A","DS",0,0,0,0,0
201065,1,"ulru","2012",398.5,222.3,147,"1.3","A","A","A","AU","A","AU","AU","AU","DC",0,0,0,0,0
201235,1,"caco","2012",389.3,228,172,"1.3","A","A","A","AU","A","AU","A","A","DS",0,0,0,0,0
121408,1,"cagl","1212",231.3,226,371,"1.3","A","A","A","A","A","A","A","A","DC",0,0,0,1,0
121405,1,"cagl","1212",238.6,220.5,302,"1.3","A","A","A","A","A","A","A","AU","DC",0,0,0,0,0
200869,1,"ulru","2009",384.2,165.7,102,"1.3",NA,NA,NA,NA,"A",NA,"A","AU","DS",0,0,0,0,0
200452,1,"fram","2003",387.2,47.9,123,"1.3","A","A","A","A","A","A","A","AU","DS",0,0,0,0,0
190060,1,"litu","1902",373,24.1,280,"1.3","A","A","A","A","A","A","A","AU","DS",0,0,0,0,0
190421,1,"fram","1904",374.6,69.9,167,"1.3","A","A","A","A","A","A","A","A","DS",0,0,0,0,0
190422,1,"fram","1904",374.6,70.7,119,"1.3","A","A","A","A","A","A","AU","A","DS",0,0,0,0,0
121297,1,"qupr","1210",221,193.9,163,"1.3","A","A","A","A","A","A","A","AU","DS",0,0,1,0,0
202595,1,"fram","2032",388.7,636.8,492,"1.3","A","A","A","A","A","A","A","A","DS",0,0,0,0,0
202965,1,"fram","2032",397.2,636.3,445,"1.3","A","A","A","A","A","A","A","A","DS",0,0,0,0,0
202570,1,"ulru","2031",384.8,600.6,185,"1.3","A","A","A","AU","D","AU","AU","AU","PD",0,0,0,0,0
202940,1,"fram","2031",399.1,605.4,103,"1.3",NA,"A","A","A","A","A","A","A","DS",0,0,0,0,0
202563,1,"litu","2030",387.5,581.5,123,"1.3","A","A","A","AU","A","AU","AU","A","DC",0,0,0,0,0
202758,1,"fram","2027",390.1,523.2,235,"1.3","A","A","A","A","A","A","A","A","DS",0,0,0,0,0
202733,1,"fram","2026",397.8,508.5,307,"1.3","A","A","A","A","A","A","A","A","DS",0,0,0,0,0
201424,2,"cato","2016",382,307.3,124,"1.3","A","A","A","A","A","A","AU","AU","DS",0,0,0,0,0
100942,1,"qupr","1009",196.2,167.4,281,"1.3","A","A","A","A","A","A","A","A","DS",0,0,1,0,0
