"survey_year","tag","StemTag","sp","genus","species","quadrat","gy","gx","ly","lx","last_main_census_dbh","last_main_census_agb_Mg","hom","ExactDate","timeint_days","previous_year_status","current_year_status","last_main_cenus_status","last_main_census_codes","cored","crown_position","crown_illumination","percent_of_crown_intact","score_crown_intact","percent_of_crown_living","score_crown_living","fad","liana_load","wounded_main_stem","rotting_trunk","canker_swelling_deformity","lean_angle_if_greater_than_15_degrees","dead_with_resprout","crown_position_if_dead","dbh_if_dead","agb_if_dead_Mg","sp_affected_by_eab","fraxinus_eabf","fraxinus_D_shaped_exit_hole_count","fraxinus_epicormic_growth","fraxinus_score_crown_living","surveyor","current_year_comment","previous_year_comment","submission_id"
2013,12165,1,"nysy","Nyssa","sylvatica","0122",428.5,14.2,NA,NA,136.5,0.06,1.3,2013-04-26,1691,"A","A",NA,"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
2013,12190,1,"havi","Hamamelis","virginiana","0122",436.4,9.4,NA,NA,88,0.02,1.3,2013-04-26,1691,"A","A",NA,"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
2013,12261,1,"libe","Lindera","benzoin","0125",483.7,18,NA,NA,NA,NA,0,2013-04-26,1691,"G","D",NA,"DS;R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
2013,20031,1,"libe","Lindera","benzoin","0201",7.4,37.1,NA,NA,NA,NA,0,2013-04-09,1629,"A","G",NA,"DC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
2013,20053,1,"libe","Lindera","benzoin","0201",9.3,26.7,NA,NA,50.9,0.01,1.25,2013-04-09,1629,"A","A",NA,"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
2013,20064,1,"litu","Liriodendron","tulipifera","0217",321.7,31.4,NA,NA,NA,NA,0,2013-05-02,1778,"A","D",NA,"DN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
2013,20090,1,"libe","Lindera","benzoin","0204",67.3,39.1,NA,NA,NA,NA,0,2013-04-10,1630,"A","G",NA,"DC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
2013,20132,1,"havi","Hamamelis","virginiana","0202",33.9,33.2,NA,NA,74.7,0.01,1.3,2013-04-09,1629,"A","A",NA,"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
2013,20151,1,"acru","Acer","rubrum","0203",45.8,31.5,NA,NA,339.2,0.62,1,2013-04-09,1629,"A","A",NA,"A;M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
2013,20181,1,"frni","Fraxinus","nigra","0203",59.2,29.8,NA,NA,41.7,0.01,1.3,2013-04-09,1629,"A","A",NA,"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA
2013,20478,1,"acne","Acer","negundo","0205",96,22.8,NA,NA,55.7,0.01,1.3,2013-04-10,1630,"A","A",NA,"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
2013,20533,1,"caca","Carpinus","caroliniana","0206",117.3,28.6,NA,NA,115.1,0.04,1.3,2013-04-11,1630,"A","A",NA,"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
2013,20586,1,"acru","Acer","rubrum","0208",141.7,27,NA,NA,NA,NA,0,2013-04-12,1631,"G","G",NA,"X;DS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
2013,20631,1,"havi","Hamamelis","virginiana","0209",175.6,31.4,NA,NA,100,0.03,1.3,2013-04-12,1631,"A","A",NA,"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
2013,20637,1,"ulsp","Ulmus","sp","0209",173.4,22.6,NA,NA,NA,NA,0,2013-04-12,1631,"A","D",NA,"DN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
2013,20825,1,"qual","Quercus","alba","0216",307.2,34.7,NA,NA,652.5,3.46,1.3,2013-05-02,1651,"A","A",NA,"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
