"survey_year","tag","StemTag","sp","genus","species","quadrat","gy","gx","ly","lx","last_main_census_dbh","last_main_census_agb_Mg","hom","ExactDate","surveyor","previous_year_status","current_year_status","last_main_cenus_status","last_main_census_codes","cored","crown_position","crown_illumination","percent_of_crown_intact","score_crown_intact","percent_of_crown_living","score_crown_living","fad","liana_load","wounded_main_stem","rotting_trunk","canker_swelling_deformity","lean_angle_if_greater_than_15_degrees","dead_with_resprout","crown_position_if_dead","dbh_if_dead","agb_if_dead_Mg","sp_affected_by_eab","fraxinus_eabf","fraxinus_D_shaped_exit_hole_count","fraxinus_epicormic_growth","fraxinus_score_crown_living","current_year_comment","previous_year_comment","submission_id"
2014,12165,1,"nysy","Nyssa","sylvatica","0122",428.5,14.2,8.5,14.2,136.5,0.06,NA,2014-09-24,"Wang","A","A","A","M",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,"",NA,NA
2014,12190,1,"havi","Hamamelis","virginiana","0122",436.4,9.4,16.4,9.4,88,0.02,NA,2014-09-24,"Wang","A","A","A","M",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,"",NA,NA
2014,12261,1,"libe","Lindera","benzoin","0125",483.7,18,3.69999999999999,18,NA,NA,NA,2014-09-23,"Herrmann","DS","PD","D","DS;R",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,"",NA,NA
2014,20031,1,"libe","Lindera","benzoin","0201",7.4,37.1,7.4,17.1,NA,NA,NA,2014-09-30,"Gonzalez, Herrmann","DC","PD","G","DC",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,"",NA,NA
2014,20053,1,"libe","Lindera","benzoin","0201",9.3,26.7,9.3,6.7,50.9,0.01,NA,2014-09-30,"Gonzalez, Herrmann","A","A","A","M",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,"",NA,NA
2014,20064,1,"litu","Liriodendron","tulipifera","0217",321.7,31.4,1.69999999999999,11.4,NA,NA,NA,2014-09-24,"Wang","DN","PD","D","DN",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,"",NA,NA
2014,20090,1,"libe","Lindera","benzoin","0204",67.3,39.1,7.3,19.1,NA,NA,NA,2014-09-30,"Gonzalez, Herrmann","DC","PD","G","DC",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,"",NA,NA
2014,20132,1,"havi","Hamamelis","virginiana","0202",33.9,33.2,13.9,13.2,74.7,0.01,NA,2014-09-30,"Gonzalez, Herrmann","A","A","A","M",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,"",NA,NA
2014,20151,1,"acru","Acer","rubrum","0203",45.8,31.5,5.8,11.5,339.2,0.62,NA,2014-09-30,"Gonzalez, Herrmann","A","DC","A","A;M",NA,"CD",NA,NA,1,NA,NA,"CR",0,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,"",NA,NA
2014,20181,1,"frni","Fraxinus","nigra","0203",59.2,29.8,19.2,9.8,41.7,0.01,1.3,NA,NA,"A",NA,"A","M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,"stem not sampled, info automatically filled from previous year info",NA,NA
