,amar,ceca,ceoc,cofl,fram,frni,frpe,havi,prav,qumi,qupr,quve,rops,saal,ulam,ulru,coal,aial,caco,juci,pato,pivi,prse,vipr
U (Unable to determine cause of death),0,0,0,0,4,1,7,2,5,3,24,24,3,10,2,40,1,0,14,0,0,0,0,1
B (Broken stem),1,9,1,1,8,0,4,5,4,1,10,16,0,3,1,6,1,0,5,0,1,0,1,0
CR (Crushed by other tree or tree parts),1,4,1,1,5,0,0,1,2,0,3,4,0,2,0,5,0,0,1,0,0,0,0,0
UP (Uprooted Tree),1,5,0,2,7,1,0,2,2,0,10,8,0,2,0,5,0,1,0,0,0,0,0,0
S (Slope Failure),0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0
L (Lightning),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fi (Fire),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AN (Animal Damage),0,1,0,0,0,0,0,0,1,0,8,7,1,1,0,2,0,0,0,0,1,1,0,0
"BB (Bark beetles present, beetle galleries)",0,2,0,0,1,1,3,0,0,1,6,5,0,0,0,5,0,0,7,0,0,0,0,0
I (Insect Infection),0,2,0,0,30,1,15,0,0,0,8,10,0,6,1,13,0,0,11,0,0,0,0,0
DF (Complete defoliation),0,1,1,0,3,1,7,3,5,2,23,32,2,9,2,36,0,0,13,1,0,0,1,0
F (Fungi visible),0,0,1,1,3,1,0,1,4,0,24,22,1,2,3,17,0,0,7,0,0,0,0,0
K (Canker or swelling present),0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,3,0,0,2,0,0,0,0,0
LF (Leaf damage),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R (Rotting stem),1,5,0,1,6,1,2,2,1,1,11,15,1,0,2,9,0,0,8,1,0,0,1,0
R1 (Root damage),0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0
R2 (Armillaria root disease),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
