"Tree.species.code","IUCN.status","n.living","n.FIP","n.EFIP","mortality.rates","AU.status","overall"
"acne","Least concern",NA,10,1,"L","M",""
"acpl","Least concern",NA,9,1,"L","L",""
"acru","Least concern",NA,11,1,"L","M",""
"aial",NA,NA,1,1,"M","H",""
"amar","Least concern",NA,0,0,"H","L",""
"astr","Least concern",NA,0,0,"L","L",""
"beth",NA,NA,0,0,"L","L",""
"caca","Least concern",NA,0,0,"L","H",""
"caco","Least concern",NA,5,0,"M","L",""
"cagl","Least concern",NA,4,0,"L","L",""
"caovl",NA,NA,4,0,"L","L",""
"cato","Least concern",NA,4,0,"L","L",""
"cade","Critically Endangered",NA,1,1,"L","L","H"
"ceoc","Least concern",NA,0,0,"H","M",""
"ceca","Least concern",NA,1,0,"H","H","M"
"chvi","Least concern",NA,1,1,"L","H",""
"coal","Least concern",NA,1,0,"M","L",""
"cofl","Least concern",NA,3,1,"H","H",""
"coam","Least concern",NA,0,0,"L","L",""
"crpr","Least concern",NA,0,0,"L","L",""
"divi","Least concern",NA,0,0,"L","L",""
"elum","Least concern",NA,0,0,"L","L",""
"eual",NA,NA,0,0,"L","L",""
"fagr","Least concern",NA,7,2,"L","L",""
"fram","Critically Endangered",NA,10,1,"H","H","H"
"frni","Critically Endangered",NA,10,1,"H","H","H"
"frpe","Critically Endangered",NA,9,1,"H","H","H"
"havi","Least concern",NA,0,0,"H","M",""
"ilve","Least concern",NA,0,0,"L","L",""
"juci","Endangered",1,4,1,"M","H","H"
"juni","Least concern",NA,4,0,"L","M",""
"libe","Least concern",NA,0,0,"L","L",""
"litu","Least concern",NA,4,0,"L","L",""
"loma",NA,NA,0,0,"L","L",""
"nysy","Least concern",NA,0,0,"L","L",""
"pato",NA,NA,0,0,"M","L",""
"pipu","Least concern",NA,12,0,"L","L",""
"pist","Least concern",NA,14,0,"L","M",""
"pivi","Least concern",NA,12,0,"M","L",""
"ploc","Least concern",NA,1,0,"L","M",""
"prav","Least concern",NA,2,0,"H","M",""
"prpe",NA,NA,2,0,"L","L",""
"prse","Least concern",NA,2,0,"M","L",""
"qual","Least concern",NA,13,2,"L","H",""
"quco","Least concern",NA,13,2,"L","H",""
"qufa","Least concern",NA,13,2,"L","H",""
"qumi","Least concern",NA,13,2,"H","H",""
"qumu","Least concern",NA,13,2,"L","L",""
"qupr","Least concern",NA,13,2,"H","M",""
"quru","Least concern",NA,14,2,"L","M",""
"quve","Least concern",NA,13,2,"H","H",""
"rops","Least concern",NA,3,0,"H","H",""
"rhpe",NA,NA,0,0,"L","L",""
"romu",NA,NA,0,0,"L","L",""
"rual",NA,NA,0,0,"L","L",""
"rupe",NA,NA,0,0,"L","L",""
"ruph",NA,NA,0,0,"L","L",""
"saca",NA,NA,0,0,"L","L",""
"saal","Least concern",NA,3,0,"H","H",""
"tiam","Least concern",NA,4,2,"L","L",""
"ulam","Endangered",NA,12,4,"H","L","H"
"ulru","Least concern",NA,12,4,"H","H",""
"viac",NA,NA,0,0,"L","L",""
"vipr","Least concern",NA,0,0,"M","H",""
"vire","Least concern",NA,0,0,"L","L",""
