ObjectID,quadrat,StemTag,sp,dbh_2023,hom,lx,ly,status_2025,fad_2025,comment_2025,x,y,status_2026,mort_census_status,fad_choices,fad_2026,lean_angle,liana_load,dead_with_resprout,crown_intact,crown_living,crown_check,personnel_list,personnel,date_measured,comment_mortality_2026,GlobalID,tag,BLD,x2,y2
1,0101,1,acne,100,1.3,7.2,6,A,,,-78.14763726,38.89067347,,not started,,,1,0,0,,,,,,,,c5abcb53-a84d-4872-b0f5-8b256d780c87,10005,0,-78.14763726,38.8906734690778
2,0101,1,juni,608,1.3,7.2,6.5,AU,"B,W",,-78.14763722,38.89067797,,not started,,,1,0,0,,,,,,,,5c6847f9-05c8-49c5-8b12-77874b1bdf1a,10006,0,-78.14763722,38.8906779690779
3,0101,1,caco,295,1.3,3.6,10.8,A,,,-78.1476783,38.89071695,,not started,,,1,0,0,,,,,,,,2dd034a7-90b7-44da-9d03-dffed2e64f65,10009,0,-78.1476782999999,38.8907169490779
4,0101,1,juni,665,1.3,7.3,12.2,A,,,-78.14763554,38.89072929,,not started,,,1,0,0,,,,,,,,c5df37dd-cba5-483d-8a91-50e71dd17f30,10010,0,-78.14763554,38.8907292890778
5,0101,1,caco,135,1.3,15.1,2,A,,,-78.14754662,38.89063688,,not started,,,1,0,0,,,,,,,,723e7e2d-bf39-42ed-be57-43234b9658e4,10109,0,-78.14754662,38.8906368790779
6,0101,1,vipr,104,1.3,15.7,9.4,A,,,-78.14753917,38.89070234,,not started,,,1,0,0,,,,,,,,da8cd083-54c6-404b-9e5f-5897c91c0f0c,10119,0,-78.14753917,38.8907023390779
7,0101,1,juni,904,1.3,15.6,13.6,A,,,-78.14753978,38.89074129,,not started,,,1,0,0,,,,,,,,55b62b2c-13d5-4667-8c30-5327cc70237a,10122,0,-78.14753978,38.8907412890779
8,0101,1,ceoc,118,1.3,15.6,16.2,AU,"I,W",,-78.14753953,38.8907647,,not started,,,1,0,0,,,,,,,,5bb9cead-883e-4c30-9dfd-0752319eb7a0,10130,0,-78.14753953,38.8907646990778
9,0102,1,ceoc,284,1.3,5.8,2.8,A,,,-78.14765183,38.89082484,,not started,,,1,0,0,,,,,,,,84953549-74c6-4dec-84ab-0de09740a899,10016,0,-78.14765183,38.8908248390779
10,0102,1,fram,206,1.3,5.1,10.1,DS,,,-78.14765922,38.89089063,,not started,,,1,0,0,,,,,,,,b715d0ca-f31b-480d-81d8-d8373934856f,10021,0,-78.14765922,38.8908906290779
11,0102,1,fram,535,1.3,16.8,7.3,DS,,,-78.14752468,38.89086456,,not started,,,1,0,0,,,,,,,,7aa1355f-d379-4193-b56c-c6ed39877ec9,10134,0,-78.1475246799999,38.8908645590779
12,0102,1,ceoc,523,1.3,13.9,9.6,A,,,-78.14755787,38.89088549,,not started,,,1,0,0,,,,,,,,5bd8a80b-c4c2-4815-a273-2333b8a39a61,10139,0,-78.14755787,38.8908854890779
13,0103,1,acru,530,1.3,4.8,10.1,AU,"W,K",,-78.14766082,38.89107074,,not started,,,1,0,0,,,,,,,,b6c14462-47ca-42b1-9c8f-7ee18eb5dc71,10035,0,-78.1476608199999,38.8910707390778
14,0103,1,acru,693,1.3,11.5,2.6,AU,"B,U",,-78.14758432,38.89100272,,not started,,,1,0,0,,,,,,,,8b1016cb-8a19-4843-a601-bf05b4c44dde,10160,0,-78.14758432,38.8910027190779
15,0103,1,litu,700,1.3,15.4,17.2,AU,"U,B",,-78.14753802,38.8911339,,not started,,,1,0,0,,,,,,,,64190104-5719-4dfb-9009-74a80bccf6ef,10163,0,-78.14753802,38.8911338990779
16,0103,1,acru,462,1.3,12.9,18,A,,,-78.14756676,38.89114128,,not started,,,1,0,0,,,,,,,,48a1838d-26b8-497a-9e2f-13dae267dec3,10165,0,-78.14756676,38.8911412790779
17,0104,1,cato,324,1.3,0.6,1.2,A,,,-78.14770817,38.89117099,,not started,,,1,0,0,,,,,,,,3d214b98-b71d-4769-857a-6a098e0c8b54,10045,0,-78.14770817,38.8911709890778
18,0104,1,acru,181,1.3,4.8,1.2,A,,,-78.14765978,38.89117069,,not started,,,1,0,0,,,,,,,,8ad7b6f5-fc87-496a-bdd5-cd736bdc416f,10053,0,-78.14765978,38.8911706890778
19,0104,1,prse,145,1.3,3.7,13.4,A,,,-78.14767132,38.89128062,,not started,,,1,0,0,,,,,,,,819476fe-31c5-4b98-8f9e-022e91f7f456,10080,0,-78.14767132,38.8912806190778
20,0104,1,acru,591,1.3,10.9,2.7,A,,,-78.14758936,38.89118375,,not started,,,1,0,0,,,,,,,,54a621de-268b-4ec8-a068-502e111b3a53,10185,0,-78.14758936,38.8911837490779
21,0104,1,qual,346,1.3,10.3,2.7,A,,,-78.14759627,38.89118379,,not started,,,1,0,0,,,,,,,,260e1ec8-87b6-4bb5-b23e-3e95bcf399d3,10186,0,-78.14759627,38.8911837890779
22,0104,1,amar,151,1.3,11.8,4.5,A,,,-78.14757882,38.89119989,,not started,,,1,0,0,,,,,,,,02ee20bb-b786-4ee2-9fdb-c48d68e2e352,10188,0,-78.14757882,38.8911998890779
