"","X.6","X.5","X.4","X.3","X.2","X.1","X","tag","table","OBJECTID","quadrat","StemTag","lx","ly","dbh_previous","hom","codes_previous","status_previous","status_2022","comment_2022","mortality","census_status","dbh_current","status_current","codes_current","code_choices","notes_current","DBH.check","living_status","crown_position","crown_intact","crown_living","fad","fad_choices","liana_load","lean_angle","wounded_main_stem","rotting_trunk","canker_swelling_deformity","dead_with_resprout","crown_check","GlobalID","CreationDate","Creator","EditDate","Editor","species","dbh_previous_mm","numeric_tag","hom_alert","lean_direction","comment_mortality","sp","tree_type","NAD83_X","NAD83_Y","personnel_list","personnel","date_measured","multi.stemmed","x","y","gx","gy","dbh_if_dead","mort_status","ExactDate"
"1",1,1,1,1,1,1,1,100005,"old_trees",5,1001,1,12.7,0.3,260,1.3,"NULL","A","","stem not sampled, info automatically filled from previous year info",1,1,255,"DS","","","","","",3,5,0,"W,F","F",NA,NA,1,NA,NA,NA,NA,"5ee36356-4012-463a-a6cf-5db23b420d1e","3/30/2023 4:12:53 PM","shuej21","10/13/2023 1:52:12 PM","shuej21","litu",260,NA,NA,NA,"","litu","1",747578.159903053,4308511.30833298,"KB","KB","10/13/2023 1:52:08 PM",0,-78.1455005200444,38.8906095428615,192.700044535183,0.283658035585437,255,"",2023-10-13
"2",2,2,2,2,2,2,2,100011,"old_trees",11,1001,1,0.7,7.9,967,1.3,"NULL","A","","stem not sampled, info automatically filled from previous year info",1,1,947,"DS","","","","","",3,15,0,"U","U",1,NA,NA,NA,NA,NA,NA,"08595fbb-a199-4463-b904-f28061500120","3/30/2023 4:12:53 PM","shuej21","10/13/2023 1:54:31 PM","shuej21","fram",967,NA,NA,NA,"","fram","1",747565.986827773,4308518.6278974,"KB","KB","10/13/2023 1:54:30 PM",0,-78.1456380709321,38.8906788510274,180.700054225884,7.89089877966422,947,"",2023-10-13
"3",3,3,3,3,3,3,3,10006,"old_trees",61,101,1,7.2,6.5,616,1.3,"NULL","A","AU","",1,1,608,"A","","","","DBH decreased more than expected (-8), check measurement","A",3,100,80,"","",3,NA,NA,NA,NA,NA,NA,"37e289c9-b370-4840-9d82-6dc5e9ffc4b8","3/30/2023 4:12:53 PM","shuej21","7/14/2023 7:31:28 PM","shuej21","juni",616,NA,NA,NA,"","juni","1",747392.568322093,4308513.10321462,"EM","RH,EM","7/14/2023 7:31:03 PM",0,-78.1476372170795,38.8906779694145,7.2000536381791,6.4955820654829,NA,"A",2023-07-14
"4",4,4,4,4,4,4,4,100070,"old_trees",73,1001,1,20,11.7,582,1.3,"F","A","A","",1,1,614,"A","RT,DV","DV","","","A",3,100,100,"","",0,NA,NA,NA,NA,NA,NA,"0659cc66-27b1-44b7-9a50-018b6a1c93cf","3/30/2023 4:12:53 PM","shuej21","10/10/2023 6:49:43 PM","shuej21","litu",582,NA,NA,NA,"","litu","1",747585.1933838,4308522.87457334,"EM","EM","10/10/2023 6:49:41 PM",0,-78.1454153498939,38.8907116609365,199.999960879222,11.6792067420458,NA,"A",2023-10-10
"5",5,5,5,5,5,5,5,100072,"old_trees",75,1001,1,20,12.9,348,1.3,"F","A","A","",1,1,358,"A","","","","","A",3,100,100,"","",0,NA,NA,NA,NA,NA,NA,"d4268190-2ad8-4df4-8e26-909c36384d0f","3/30/2023 4:12:53 PM","shuej21","10/10/2023 6:47:25 PM","shuej21","litu",348,NA,NA,NA,"","litu","1",747585.165576623,4308524.07426272,"EM","EM","10/10/2023 6:47:24 PM",0,-78.1454152376039,38.8907224663561,199.999993130846,12.8792181094619,NA,"A",2023-10-10
"6",6,6,6,6,6,6,6,10009,"old_trees",93,101,1,3.6,10.8,283,1.3,"I","A","A","",1,1,295,"A","","","","","A",3,100,100,"","",0,NA,NA,NA,NA,NA,NA,"a7500ec8-c4cb-43d9-ac4e-3080bbd1435c","3/30/2023 4:12:53 PM","shuej21","7/14/2023 7:32:24 PM","shuej21","caco",283,NA,NA,NA,"","caco","1",747388.869536819,4308517.31850021,"EM","RH,IK,EM","7/14/2023 7:32:03 PM",0,-78.1476782952256,38.8907169497647,3.60005549521264,10.7977138622806,NA,"A",2023-07-14
"7",7,7,7,7,7,7,7,10010,"old_trees",104,101,1,7.3,12.2,629,1.3,"NULL","A","A","",1,1,665,"A","RT","RT","","","A",3,100,100,"","",0,NA,NA,NA,NA,NA,NA,"57145f98-b73b-4ce4-b646-ece268f1904e","3/30/2023 4:12:53 PM","shuej21","7/14/2023 7:33:11 PM","shuej21","juni",629,NA,NA,NA,"","juni","1",747392.536015002,4308518.80396021,"EM","EM","7/14/2023 7:33:08 PM",0,-78.1476355354305,38.8907292871263,7.3000085031826,12.1954815087319,NA,"A",2023-07-14
"8",8,8,8,8,8,8,8,10013,"old_trees",136,102,1,5.5,3.5,268,1.3,"NULL","A","AU","Large liana load >50",1,1,283,"DS","I","I","Dead tree, bark peeling off the tree, affected DBH","","",2,55,0,"I","I",2,NA,NA,NA,NA,0,NA,"ea7968f0-28f4-4c91-9cba-a92b9a351783","3/30/2023 4:12:53 PM","shuej21","8/28/2023 2:26:26 PM","shuej21","fram",268,NA,NA,NA,"Dead tree, bark peeling off the tree, affected DBH; ","fram","1",747390.474340431,4308530.05922256,"IK","CT,RH,IK","8/28/2023 2:26:00 PM",0,-78.147655223794,38.8908311687044,5.50000292744897,23.4966281012284,283,"",2023-08-28
"9",9,9,9,9,9,9,9,100134,"old_trees",141,1002,1,15.8,4.2,348,1.3,"F","A","A","",1,1,379,"A","RT","RT","","","A",3,100,100,"","",0,NA,NA,NA,NA,NA,NA,"d3ae40ac-fb22-4bc2-9e98-ac391449bd9b","3/30/2023 4:12:53 PM","shuej21","10/10/2023 7:07:56 PM","shuej21","litu",348,NA,NA,NA,"","litu","1",747580.704589095,4308535.2738069,"EM","EM","10/10/2023 7:07:45 PM",0,-78.1454625743066,38.8908245227446,195.800027726119,24.1817720512936,NA,"A",2023-10-10
"10",10,10,10,10,10,10,10,100147,"old_trees",154,1002,1,11.8,6.8,253,1.3,"F","A","A","",1,1,269,"A","","","","","A",3,100,100,"","",0,NA,NA,NA,NA,NA,NA,"f3f58bba-fa41-4262-843a-19efbe4438e7","3/30/2023 4:12:53 PM","shuej21","10/10/2023 7:03:11 PM","shuej21","nysy",253,NA,NA,NA,"","nysy","1",747576.645313661,4308537.78028159,"EM","EM","10/10/2023 7:01:33 PM",0,-78.1455084189132,38.8908482255488,191.799993243282,26.7841576711853,NA,"A",2023-10-10
