"OBJECTID","quadrat","tag","StemTag","sp","lx","ly","hom","dbh_2023","status_2023","codes_2023","notes_2023","living_status_2023","fad_2023","wound_2023","rot_2023","canker_2023","comment_mortality_2023","x","y","status_2024","living_status_2024","crown_position_2024","crown_intact","crown_living","fad_choices","fad_2024","liana_load","wound_2024","rot_2024","canker_2024","lean_angle","lean_direction","dead_with_resprout","crown_check","dbh_dead_2024","dead_dbh_check","comment_mortality_2024","mort_census_status","personnel_list","GlobalID","EditDate","Editor","date_measured","dbh_verified"
1,101,10005,1,"acne",7.2,6,1.3,100,"LI","","","","",NA,NA,NA,"",-78.14763726,38.89067347,"LI","A",1,50,30,"","",4,NA,NA,NA,NA,NA,NA,NA,NA,"","Covered by lianas","finished","RH","ccaec84b-9581-4235-a486-f0c595b387ff","7/10/2024 3:30:29 PM","shuej21","7/10/2024 3:30:00 PM",""
2,101,10006,1,"juni",7.2,6.5,1.3,608,"LI","","","A","",NA,NA,NA,"",-78.14763722,38.89067797,"LI","AU",3,3,3,"B","B",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Stem broken 10 percent of the way up","finished","RH","d0df9550-43fe-43ad-b5c7-a8357f6681fd","7/10/2024 3:23:13 PM","shuej21","7/10/2024 3:23:04 PM",""
3,101,10009,1,"caco",3.6,10.8,1.3,295,"LI","","","A","",NA,NA,NA,"",-78.1476783,38.89071695,"LI","AU",2,90,90,"K","K",3,NA,NA,2,NA,NA,NA,NA,NA,"","","finished","RH","cba0fd6f-7094-46d0-a75a-65742ca8e795","7/10/2024 3:14:22 PM","shuej21","7/10/2024 3:14:16 PM",""
4,101,10010,1,"juni",7.3,12.2,1.3,665,"LI","RT","","A","",NA,NA,NA,"",-78.14763554,38.89072929,"LI","A",3,100,100,"","",1,NA,NA,NA,NA,NA,NA,NA,NA,"","","finished","RH","50598252-c4d0-4a77-a428-cadc102fde07","7/10/2024 3:03:11 PM","shuej21","7/10/2024 3:03:00 PM",""
5,1002,100134,1,"litu",15.8,4.3,1.3,379,"LI","RT","","A","",NA,NA,NA,"",-78.14546257,38.89082452,"LI","A",2,100,100,"","",0,NA,NA,NA,NA,NA,NA,NA,NA,"","IK","finished","Other","6a726cd4-74a3-4bf3-a215-7a05b302dc98","5/22/2024 3:14:49 PM","shuej21","5/22/2024 3:14:38 PM",""
6,1002,100147,1,"nysy",11.8,6.9,1.3,269,"LI","","","A","",NA,NA,NA,"",-78.14550842,38.89084823,"LI","A",2,100,100,"","",0,NA,NA,NA,NA,NA,NA,NA,NA,"","IK","finished","Other","77fe1ece-d47f-4dca-906f-9cad4206ee9a","5/22/2024 3:18:06 PM","shuej21","5/22/2024 3:18:01 PM",""
7,102,10016,1,"ceoc",5.8,2.8,1.3,284,"LI","","","AU","LF",NA,NA,NA,"Leaves all spotty",-78.14765183,38.89082484,"LI","AU",4,100,100,"LF","LF",4,NA,NA,NA,NA,NA,NA,NA,NA,"","Unable to get picture of leaf damage","finished","RH","60c96783-66ee-461e-aeea-22975cba490b","7/10/2024 2:36:50 PM","shuej21","7/10/2024 2:36:11 PM",""
8,1002,100168,1,"quve",17.5,7.2,1.3,578,"LI","RT","","AU","DF",NA,NA,NA,"",-78.14544272,38.89085051,"DS","",3,80,NA,"U","U",0,NA,NA,NA,NA,NA,0,NA,582,"","IK","finished","Other","2ff20f14-c714-4ebf-80ec-948595caf553","5/22/2024 3:21:57 PM","shuej21","5/22/2024 3:21:22 PM",""
9,103,10035,1,"acru",4.8,10.1,1.3,530,"LI","L","","A","",NA,NA,NA,"10 degrees north lean",-78.14766082,38.89107074,"LI","A",4,95,95,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","finished","RH","0e1a7591-1969-49f7-bb8d-d373f9b617f0","7/10/2024 2:06:55 PM","shuej21","7/10/2024 2:06:35 PM",""
10,1002,100366,1,"cagl",2.2,12.2,1.3,432,"LI","DV","","A","",NA,NA,NA,"",-78.14561853,38.89089665,"LI","A",3,100,100,"","",0,NA,NA,NA,NA,NA,NA,NA,NA,"","IK","finished","Other","3f60f811-a810-42c2-8fd2-8243a6e7352f","5/22/2024 3:35:12 PM","shuej21","5/22/2024 3:35:03 PM",""
11,104,10045,1,"cato",0.6,1.2,1.3,324,"LI","DV","Measured on old paint checked dbh twice","AU","K",NA,NA,2,"",-78.14770817,38.89117099,"LI","A",3,90,85,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","finished","JJ","dc8b9a29-5f92-409d-80f5-5f3083b37eff","7/9/2024 1:47:04 PM","shuej21","7/9/2024 1:47:00 PM",""
12,1003,100498,1,"caco",16.7,14.2,1.3,163,"LI","","","A","",NA,NA,NA,"",-78.14544942,38.89109369,"LI","A",2,100,100,"","",0,NA,NA,NA,NA,NA,NA,NA,NA,"","IK","finished","Other","1e0f1602-66c2-437d-a61e-7f3c3456d8e1","5/30/2024 3:30:53 PM","shuej21","5/30/2024 3:30:28 PM",""
13,1003,100503,1,"cato",19.6,20,1.3,118,"LI","","","A","",NA,NA,NA,"",-78.14541546,38.8911457,"LI","A",2,100,100,"","",0,NA,NA,NA,NA,NA,NA,NA,NA,"","IK","finished","Other","f2e3366f-848c-4688-ba22-576cb28fc9d1","5/30/2024 3:29:57 PM","shuej21","5/30/2024 3:29:32 PM",""
14,1003,100509,1,"litu",9,17.7,1.3,503,"LI","","","A","",NA,NA,NA,"",-78.14553781,38.89112577,"LI","A",3,100,100,"","",0,NA,NA,NA,NA,NA,NA,NA,NA,"","IK","finished","Other","2c3af3c7-e60b-4f13-82e1-cbc1bc626057","5/30/2024 3:32:09 PM","shuej21","5/30/2024 3:32:01 PM",""
15,1004,100516,1,"litu",17.9,2.3,1.3,1089,"LI","BT","","A","",NA,NA,NA,"",-78.14543484,38.89116654,"LI","A",3,100,100,"","",0,NA,NA,NA,NA,NA,NA,NA,NA,"","IK","finished","Other","94330125-df98-4fe0-857d-a445fb178dcd","5/30/2024 3:29:15 PM","shuej21","5/30/2024 3:29:01 PM",""
16,104,10053,1,"acru",4.8,1.2,1.3,181,"LI","","","AU","K",NA,NA,1,"It looks like the main stem may have previously broken and a new stem grew from the break",-78.14765978,38.89117069,"LI","AU",2,50,50,"B","B",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","finished","JJ","84bb3e10-41a0-4193-ae7e-48916077f904","7/9/2024 1:45:04 PM","shuej21","7/9/2024 1:45:01 PM",""
17,1004,100540,1,"quru",11.1,8.3,1.3,489,"LI","","","AU","W,K",1,NA,1,"",-78.14551262,38.89122106,"LI","AU",3,100,100,"K","W,K",0,1,NA,2,NA,NA,NA,NA,NA,"","IK","finished","Other","d8eaa306-a90f-436d-bdbc-eb47bb598476","5/30/2024 3:16:28 PM","shuej21","5/30/2024 3:16:05 PM",""
