survey_year,perc.crown,DF,fraxinus.crown.thinning,new.status,fraxinus
2017,NA,NA,NA,PD,FALSE
2017,NA,NA,NA,A,FALSE
2017,1,NA,NA,DS,FALSE
2017,NA,NA,1,A,TRUE
2017,NA,3,3,AU,TRUE
2017,2,NA,NA,PD,TRUE
2017,NA,NA,4,AU,TRUE
2017,NA,NA,NA,DN,FALSE
2017,NA,NA,NA,PD,TRUE
2017,4,NA,5,DS,TRUE
2017,NA,NA,3,AU,TRUE
2017,NA,NA,NA,AU,FALSE
2017,NA,NA,3,A,TRUE
2017,NA,NA,4,A,TRUE
2017,3,NA,NA,PD,FALSE
2017,NA,NA,5,AU,TRUE
2017,NA,NA,2,A,TRUE
2017,1,NA,NA,PD,FALSE
2017,2,NA,5,DS,TRUE
2017,4,NA,NA,PD,FALSE
2017,1,NA,NA,DC,FALSE
2017,NA,4,NA,AU,FALSE
2017,NA,3,NA,AU,FALSE
2017,2,NA,NA,DS,FALSE
2017,2,NA,NA,PD,FALSE
2017,1,NA,NA,PD,TRUE
2017,3,NA,NA,DS,FALSE
2017,NA,NA,1,AU,TRUE
2017,4,NA,NA,PD,TRUE
2017,3,NA,NA,DC,FALSE
2017,1,NA,5,DS,TRUE
2017,NA,5,5,AU,TRUE
2017,NA,2,NA,AU,FALSE
2017,5,NA,NA,PD,FALSE
2017,NA,5,NA,AU,FALSE
2017,NA,4,4,AU,TRUE
2017,NA,3,4,AU,TRUE
2017,4,NA,NA,DS,FALSE
2017,NA,2,4,AU,FALSE
2017,NA,NA,NA,DN,TRUE
2017,3,NA,NA,PD,TRUE
2017,3,5,5,DS,TRUE
2017,2,NA,NA,DC,FALSE
2017,4,5,5,DS,TRUE
2017,NA,NA,NA,A,TRUE
2017,4,NA,NA,DC,FALSE
2017,NA,1,NA,AU,FALSE
2017,2,NA,3,A,TRUE
2017,4,NA,1,A,TRUE
2017,1,NA,4,AU,TRUE
2017,3,NA,2,AU,TRUE
2017,3,NA,3,AU,TRUE
2017,2,5,NA,DS,FALSE
2017,NA,NA,2,AU,TRUE
2017,5,NA,NA,PD,TRUE
2017,1,NA,5,DC,TRUE
2017,1,NA,NA,AU,FALSE
2017,2,5,5,DS,TRUE
2017,NA,2,NA,A,FALSE
2017,4,4,NA,AU,FALSE
2017,2,NA,NA,AU,FALSE
2017,NA,4,NA,A,FALSE
2017,NA,NA,3,AU,FALSE
2017,3,NA,5,DS,TRUE
2017,NA,NA,1,A,FALSE
2017,4,NA,5,DC,TRUE
2017,NA,3,NA,A,FALSE
2018,NA,NA,NA,PD,FALSE
2018,NA,NA,NA,A,FALSE
2018,1,NA,NA,PD,FALSE
2018,NA,3,NA,AU,FALSE
2018,NA,NA,2,A,TRUE
2018,NA,NA,1,A,TRUE
2018,3,NA,5,DS,TRUE
2018,NA,NA,5,AU,TRUE
2018,NA,NA,NA,AU,FALSE
2018,NA,NA,NA,PD,TRUE
2018,4,NA,5,PD,TRUE
2018,NA,NA,4,AU,TRUE
2018,NA,NA,3,AU,TRUE
2018,1,NA,5,DS,TRUE
2018,2,NA,5,PD,TRUE
2018,NA,4,NA,AU,FALSE
2018,3,NA,NA,DS,FALSE
2018,2,NA,NA,DS,FALSE
2018,2,NA,NA,PD,FALSE
2018,NA,5,NA,AU,FALSE
2018,1,NA,NA,DC,FALSE
2018,4,5,5,DS,TRUE
2018,NA,4,4,AU,TRUE
2018,NA,NA,3,A,TRUE
2018,NA,NA,4,A,TRUE
2018,NA,2,NA,AU,FALSE
2018,NA,3,3,AU,TRUE
2018,3,NA,NA,PD,FALSE
2018,NA,NA,2,AU,TRUE
2018,1,5,NA,DC,FALSE
2018,4,NA,NA,DS,FALSE
2018,1,NA,5,PD,TRUE
2018,4,NA,5,DS,TRUE
2018,4,NA,4,DS,TRUE
2018,2,NA,5,DS,TRUE
2018,4,NA,NA,PD,FALSE
2018,4,5,NA,DS,FALSE
2018,1,NA,NA,DS,FALSE
2018,3,5,5,PD,TRUE
2018,4,5,5,PD,TRUE
2018,1,NA,5,DC,TRUE
2018,2,NA,NA,DC,FALSE
2018,NA,NA,4,PD,TRUE
2018,2,5,5,DS,TRUE
2018,3,5,5,DS,TRUE
2018,2,5,NA,PD,FALSE
2018,NA,4,1,AU,TRUE
2018,1,5,5,DS,TRUE
2018,5,NA,NA,DC,FALSE
2018,4,NA,NA,DC,FALSE
2018,2,5,5,PD,TRUE
2018,NA,5,5,AU,TRUE
2018,3,NA,4,DS,TRUE
2018,NA,2,5,AU,TRUE
2018,NA,NA,5,A,TRUE
2018,NA,3,5,AU,TRUE
2018,1,5,5,DC,TRUE
2018,NA,3,NA,PD,FALSE
2018,3,NA,5,PD,TRUE
2018,5,5,NA,DS,FALSE
2018,2,5,NA,DS,FALSE
2018,NA,NA,NA,A,TRUE
2018,3,NA,NA,DC,FALSE
2018,NA,NA,1,AU,TRUE
2019,NA,NA,NA,PD,FALSE
2019,NA,NA,NA,PD ,FALSE
2019,NA,NA,NA,A,FALSE
2019,NA,NA,2,A,TRUE
2019,NA,NA,NA,PD,TRUE
2019,NA,NA,1,A,TRUE
2019,NA,3,NA,AU,FALSE
2019,4,NA,5,DS,TRUE
2019,NA,NA,2,AU,TRUE
2019,3,NA,NA,DC,FALSE
2019,NA,NA,NA,AU,FALSE
2019,1,NA,NA,DS,FALSE
2019,NA,4,NA,AU,FALSE
2019,4,NA,NA,DC,FALSE
2019,NA,4,2,AU,TRUE
2019,NA,NA,NA,PD ,TRUE
2019,NA,NA,4,AU,TRUE
2019,4,5,5,DS,TRUE
2019,NA,NA,3,AU,TRUE
2019,NA,3,1,AU,TRUE
2019,NA,NA,1,AU,TRUE
2019,3,NA,3,DS,TRUE
2019,1,NA,1,DS,TRUE
2019,NA,3,3,AU,TRUE
2019,4,NA,NA,DS,FALSE
2019,4,NA,5,DC,TRUE
2019,NA,1,NA,AU,FALSE
2019,NA,4,4,AU,TRUE
2019,NA,NA,3,A,TRUE
2019,NA,2,NA,AU,FALSE
2019,NA,1,2,AU,TRUE
2019,NA,NA,4,A,TRUE
2019,NA,NA,NA,AU ,FALSE
2019,1,NA,NA,DC,FALSE
2019,1,NA,5,DS,TRUE
2019,NA,NA,NA,A ,FALSE
2019,NA,4,3,AU,TRUE
2019,4,5,NA,DS,FALSE
2019,3,NA,NA,DS,FALSE
2019,1,NA,5,DC,TRUE
2019,4,3,NA,DC,FALSE
2019,NA,NA,5,AU,TRUE
2019,NA,NA,NA,Pd,FALSE
2019,2,NA,NA,DS,FALSE
2019,NA,2,2,AU,TRUE
2019,NA,NA,1,A,FALSE
2019,NA,NA,3,AU,FALSE
2019,NA,5,5,AU,TRUE
2019,3,5,NA,DS,FALSE
2019,3,NA,5,DS,TRUE
2019,NA,NA,1,A ,TRUE
2019,3,NA,4,DS,TRUE
2019,NA,2,1,AU,TRUE
2019,NA,NA,NA,DN,FALSE
2019,NA,3,2,AU,TRUE
2019,1,5,5,DS,TRUE
2019,NA,4,1,AU,TRUE
2020,NA,NA,NA,PD,FALSE
2020,NA,NA,NA,A,FALSE
2020,NA,4,NA,AU,FALSE
2020,NA,NA,4,A,TRUE
2020,4,NA,5,DS,TRUE
2020,NA,NA,NA,PD,TRUE
2020,NA,3,NA,AU,FALSE
2020,NA,NA,1,A,TRUE
2020,1,NA,5,DS,TRUE
2020,3,NA,5,DS,TRUE
2020,NA,2,NA,AU,FALSE
2020,NA,NA,NA,AU,FALSE
2020,3,NA,NA,DS,FALSE
2020,5,NA,NA,DS,FALSE
2020,NA,NA,2,A,TRUE
2020,1,NA,NA,DC,FALSE
2020,NA,NA,4,AU,TRUE
2020,NA,5,NA,AU,FALSE
2020,NA,NA,3,A,TRUE
2020,2,NA,5,DS,TRUE
2020,NA,NA,1,AU,TRUE
2020,1,NA,NA,DS,FALSE
2020,2,NA,2,DS,TRUE
2020,NA,NA,NA,PD ,TRUE
2020,NA,NA,NA,A,TRUE
2020,4,NA,3,DS,TRUE
2020,4,NA,NA,DS,FALSE
2020,0,NA,5,DS,TRUE
2020,2,NA,3,A,TRUE
2020,NA,NA,5,A,TRUE
2020,0,NA,NA,DS,FALSE
2020,NA,NA,3,AU,TRUE
2020,NA,1,NA,AU,FALSE
2020,NA,4,4,AU,TRUE
2020,3,NA,2,DS,TRUE
2020,4,NA,NA,DC,FALSE
2020,2,NA,NA,DC,FALSE
2020,2,NA,NA,DS,FALSE
2020,NA,NA,NA,PD ,FALSE
2020,NA,2,NA,AU,TRUE
2020,NA,NA,NA,A  ,FALSE
2020,NA,NA,NA,A ,FALSE
2020,NA,NA,NA, A,FALSE
2020,NA,NA,NA,A   ,FALSE
2020,3,NA,NA,DC,FALSE
2020,4,NA,5,DS,FALSE
2020,NA,NA,NA,A     ,FALSE
2020,NA,NA,1, A,TRUE
2020,NA,NA,NA,A    ,FALSE
2020,NA,2,NA, AU  ,FALSE
2020,4,NA,2,DS,TRUE
2020,NA,NA,0,A,TRUE
2020,NA,NA,1,A,FALSE
2020,NA,NA,3,A,FALSE
2020,NA,NA,4,AU,FALSE
2020,NA,NA,NA,   A,FALSE
2020,NA,NA,NA,    A,FALSE
2020,NA,NA,NA,  A,FALSE
2020,NA,NA,2,AU,TRUE
2020,2,NA,5,DC,TRUE
2020,3,NA,1,DS,TRUE
2020,3,NA,5,DC,TRUE
2020,NA,2,4,AU,TRUE
2020,1,NA,5,DC,TRUE
2020,4,NA,1,DS,TRUE
2020,3,NA,3,DS,TRUE
2020,5,NA,5,DS,TRUE
2020,1,NA,3,DS,TRUE
