"Quad","Tag","StemTag","dbh.2008","dbh.2013","dbh.2018","/","DBH","Dead.DBH","Notes.2021"
213,20739,1,97.2,103,111,"/",111,70,NA
1117,112010,1,156.5,163.3,170,"/",170,17,NA
1117,112010,1,156.5,163.3,170,"/",170,17,NA
208,20602,1,266.1,316.1,343,"/",343,377,NA
222,22207,1,320.1,331.2,345,"/",345,308,NA
1518,152044,2,300.2,320,352,"/",352,420,NA
218,22056,1,399,379.5,378,"/",378,340,NA
218,22056,1,399,379.5,378,"/",378,340,NA
226,22333,1,412,421.6,430,"/",430,640,NA
1213,121421,1,439.6,474.8,495,"/",495,520,NA
721,72202,1,535.3,558.9,574,"/",574,602,NA
403,40131,1,609.8,674,635,"/",635,610,NA
501,50047,1,632.2,653,682,"/",682,720,NA
1028,102423,1,648,671,684,"/",684,709,NA
210,20661,1,694.2,708.9,724,"/",724,883,NA
424,42248,1,786.7,792,794,"/",794,815,NA
1419,142206,1,851.4,854.7,876,"/",876,512,NA
1419,142206,1,851.4,854.7,876,"/",876,866,NA
1216,121358,1,993.2,1037.4,1061,"/",1061,1040,NA
1216,121358,1,993.2,1037.4,1061,"/",1061,1040,NA
