"Quad","n_tag_error_field_fix","n_tag_error_auto_fix","n_tag_warnings","n_missing_tags","n_duplicated_tags","sum_missing_and_errors"
"0101",1,1,0,0,NA,1
"0102",5,0,2,0,NA,5
"0707",0,1,0,0,NA,0
"0710",1,3,0,0,NA,1
"0813",1,1,1,0,NA,1
"0816",3,0,0,0,NA,3
"0817",0,2,0,0,NA,0
"0818",1,0,0,0,NA,1
"0819",2,0,0,0,NA,2
"0820",1,1,0,0,NA,1
"0821",5,0,0,0,NA,5
"0823",1,0,0,0,NA,1
"0825",1,1,0,0,NA,1
"0826",1,0,0,0,NA,1
"0829",3,0,0,0,NA,3
"0832",1,1,0,0,NA,1
"0916",5,0,0,0,NA,5
"0917",3,0,1,0,NA,3
"0918",6,0,0,0,NA,6
"0919",3,0,0,0,NA,3
"0920",3,0,0,0,NA,3
"0923",1,0,0,0,NA,1
"0924",3,0,0,0,NA,3
"0925",1,0,0,0,NA,1
"0927",7,1,0,0,NA,7
"0928",1,0,0,0,NA,1
"0929",1,0,0,0,NA,1
"0930",2,0,0,0,NA,2
"1014",4,0,0,0,NA,4
"1015",1,0,0,0,NA,1
"1016",5,0,0,0,NA,5
"1020",1,0,0,0,NA,1
"1021",0,0,0,1,2,1
"1022",5,1,0,0,NA,5
"1023",4,1,1,0,NA,4
"1024",1,0,0,0,NA,1
"1027",1,0,0,0,NA,1
"1028",1,0,0,0,NA,1
"1029",4,0,0,0,NA,4
"1030",1,0,0,0,NA,1
"1031",1,0,0,0,NA,1
"1032",1,0,0,0,NA,1
"1114",1,0,0,0,NA,1
"1115",2,1,0,0,NA,2
"1116",4,0,0,0,NA,4
"1117",2,0,0,0,NA,2
"1118",2,0,0,0,NA,2
"1119",1,0,0,0,NA,1
"1122",0,0,1,0,NA,0
"1123",0,1,0,0,NA,0
"1124",1,0,0,0,NA,1
"1125",1,0,0,0,NA,1
"1128",1,0,0,0,NA,1
"1129",2,0,0,0,NA,2
"1132",0,0,1,0,NA,0
"1216",2,0,0,0,NA,2
"1218",2,1,0,0,NA,2
"1220",1,0,2,0,NA,1
"1221",0,0,0,1,2,1
"1222",1,0,0,0,NA,1
"1224",0,1,0,0,NA,0
"1227",3,1,0,0,NA,3
"1228",2,1,0,0,NA,2
"1229",2,0,0,0,NA,2
"1230",2,0,0,0,NA,2
"1313",1,0,0,0,NA,1
"1315",2,0,0,0,NA,2
"1316",1,0,0,0,NA,1
"1317",1,0,0,0,NA,1
"1318",2,0,0,0,NA,2
"1320",1,1,0,0,NA,1
"1322",1,0,0,0,NA,1
"1323",0,0,0,1,2,1
"1325",2,0,0,0,NA,2
"1326",4,0,0,0,NA,4
"1328",5,1,0,0,NA,5
"1329",0,0,0,1,2,1
"1330",1,0,0,0,NA,1
"1331",2,0,0,0,NA,2
