"Submission Id","Quad","Tag","StemTag","Species","QX","QY","DBH","Status 2020","HOM","Status 2021","DWR","Crown position","Dead crown position","Dead DBH","Percentage of crown intact","Percentage of crown living","Lean angle if greater than 15 degrees","Lianas","FAD","Wounded main stem","Canker; swelling, deformity","Rotting trunk","Notes 2021","Crown thinning","Epicormic growth","EABF","D-shaped exit hole count","Crown position < 10 cm DBH"
"33d32bdf-9867-4804-a107-cbe52280d9e5","1414","140875","1","caco","4.8","5.4","563","A","1.3","A","False",NA,NA,NA,100,100,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33d32bdf-9867-4804-a107-cbe52280d9e5","1414","140883","1","fram","5.3","17.4","710","AU","1.3","DS","False",NA,"D",710,90,0,NA,"0","I,DF",NA,NA,NA,NA,"5","0","DE,W",3,NA
"33d32bdf-9867-4804-a107-cbe52280d9e5","1414","140881","1","fram","7.2","13.3","630","A","1.3","AU","False","4",NA,NA,30,15,NA,"0","I",NA,NA,NA,NA,"4","2","DE",3,NA
"33d32bdf-9867-4804-a107-cbe52280d9e5","1414","140881","1","fram","7.2","13.3","630","A","1.3","AU","False",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"only o one stem not two",NA,NA,NA,NA,NA
"46d980fd-5f3d-4c79-a457-1e80a24aa718","1416","141124","1","fram","18.3","0.4","194","DS","1.3","DN","False",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46d980fd-5f3d-4c79-a457-1e80a24aa718","1416","141146","1","caco","2.5","18.5","361","DS","1.3","DS","False",NA,NA,NA,0,0,NA,"0","U,DF,F",NA,NA,"1","tangle of dead trees",NA,NA,NA,NA,NA
"167227be-f782-4892-b717-3c82176779ee","1417","142018","1","quru","13.2","16.2","648","PD","1.3","DS","False",NA,"D",NA,NA,NA,NA,"2","U,F,DF",NA,NA,NA,NA,NA,NA,NA,NA,NA
"cc4103fa-c56e-4856-aed9-3ce2e18a3794","1419","142082","1","fram","16.5","3.3","507","AU","1.3","DS","False","4","D",512,80,0,NA,"0","I,DF",NA,NA,NA,NA,"5","0","DE",7,NA
"cc4103fa-c56e-4856-aed9-3ce2e18a3794","1419","142082","1","fram","16.5","3.3","507","AU","1.3","DS","False",NA,"D",NA,NA,NA,NA,NA,NA,NA,NA,NA,"only one stem",NA,NA,NA,NA,NA
"cc4103fa-c56e-4856-aed9-3ce2e18a3794","1419","142206","1","fram","18.5","16.5","876","DS","1.3","DS","False","3","CD",866,75,0,NA,"0","I,DF",NA,NA,NA,NA,"5","0","DE",1,NA
