"Submission Id","Quad","Tag","StemTag","Species","QX","QY","DBH","Status 2020","HOM","Status 2021","DWR","Crown position","Dead crown position","Dead DBH","Percentage of crown intact","Percentage of crown living","Lean angle if greater than 15 degrees","Lianas","FAD","Wounded main stem","Canker; swelling, deformity","Rotting trunk","Notes 2021","Crown thinning","Epicormic growth","EABF","D-shaped exit hole count","Crown position < 10 cm DBH"
"223b1d04-8f5c-42b2-9c7b-ff5bad8c53d1","815","80570","1","pato","18.8","6.4","485","PD","1.3","DC","False",NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23463380-182c-43a9-82de-4bdc2d12eb85","816","80698","1","frni","0.9","13.2","158","DS","1.3","DS","False","3","OG",NA,85,0,NA,"0",NA,NA,NA,NA,"Dead tree","5","0","VB,AS,DE",5,"OG"
"23463380-182c-43a9-82de-4bdc2d12eb85","816","80773","1","frni","19.6","17.3","NA","PD","1.3","DC","False",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6bcd3c17-6714-427d-9219-e68987e1333b","822","82208","1","qual","1.6","4.9","491","PD","1.3","DC","False","1","S",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57a4a19f-603d-4a51-a9d6-2cd8fe3066a0","824","82257","1","nysy","10.9","14.6","104","PD","1.3","DC","False","1","S",NA,0,0,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0d92cbad-8db6-43ac-9d9a-4592c8ac1651","825","82284","1","quve","1.3","12","850","PD","1.3","DS","False","4","CD",NA,0,0,NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cc651402-1f66-4ca1-8ecb-3c8fd9a717e1","317","32021","1","fram","12.6","6.5","106","A","1.3","DC","False","1","S",NA,0,0,NA,NA,"I,CR",NA,NA,"3",NA,"5","0","none",NA,NA
"3471c49a-2684-47ed-a3fe-0b1e6b632227","214","20783","1","cagl","9","10","112","DS","1.3","DC","False",NA,NA,NA,0,0,NA,"0","U,R,F,DF,UP,B",NA,NA,NA,NA,NA,NA,NA,NA,NA
"386a30ff-1591-4d81-abba-87309dc19683","219","22095","1","nysy","13.3","2.2","298","DS","1.3","DS","False","1","I",NA,0,0,NA,NA,"U,B,R","3",NA,"3",NA,NA,NA,NA,NA,NA
"4551c318-1b6e-46e0-b288-af9962c2b64e","220","22132","1","juni","14.1","18.9","191","PD","1.3","DS","False","3","I",NA,10,0,NA,"0","U,R,I",NA,NA,"2",NA,NA,NA,NA,NA,NA
"9d5d6d84-f774-483e-a333-803b1e8d4779","221","22154","1","frni","18.5","9.7","114","PD","1.3","DS","False","2","S",NA,25,0,NA,"0","U,I,R",NA,NA,NA,NA,"0","0","DE,VB,W,SS",4,"S"
"004d33b6-696c-4bd1-97c7-fc892df0f4ab","223","22220","1","fram","9.1","5.4","66","DS","1.3","DS","False","2","S",NA,NA,0,NA,"0","I",NA,NA,NA,NA,"5","0","DE",2,"S"
"004d33b6-696c-4bd1-97c7-fc892df0f4ab","223","22236","1","fram","13.5","8","101","DS","1.3","DS","False","1","S",NA,40,0,NA,"0","I",NA,NA,NA,NA,"5","0","DE",1,"S"
"7c9748eb-358f-4807-bbf2-27726a132b13","216","20825","1","qual","14.7","7.2","660","DS","1.3","DS","False","4","CD",NA,60,0,NA,"0","U,I","1",NA,NA,NA,NA,NA,NA,NA,NA
"21528247-2d0a-484e-b89e-a70f34f364ec","125","12270","1","tiam","19.4","19.6","304","AU","1.3","DS","False","3",NA,NA,100,0,NA,"0","DF",NA,NA,"1",NA,NA,NA,NA,NA,NA
"3be0bd40-0216-4628-a00b-d3adfd653a7a","202","20122","1","prav","29.1","32.2","168","A","1.3","DC","False","1","S",NA,NA,NA,NA,"0","CR","3",NA,NA,NA,NA,NA,NA,NA,NA
"23f4a54c-6998-4b55-9f8b-01d59e665cfe","815","80570","1","pato","158.8","286.39999","485","PD","1.3","PD","False",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23f4a54c-6998-4b55-9f8b-01d59e665cfe","815","80560","1","frpe","143","284","130","PD","1.3","DC","False",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"d2632ea9-09a4-4f9c-8b63-28a2c9c9dd89","102","10021","1","fram","5.1","30.1","206","A","1.3","DS","False","3","CD",NA,50,0,NA,"0",NA,NA,NA,NA,NA,"5","0","DE,AS,W",5,NA
"ee488b9e-3db5-4a7e-9475-23ebb6f223c5","816","80698","1","frni","140.89999","313.20001","158","DS","1.3","DS","False","3","I",158,80,0,NA,"0","I",NA,"1",NA,NA,"5","0","DE",2,NA
"f12e2ddd-bf96-4710-b354-3d41e9e16b74","917","92029","1","quru","171.5","334","594","A","1.3","DS","False","2","I",NA,90,0,NA,"0","DF,U",NA,NA,NA,NA,NA,NA,NA,NA,NA
